518909	bend it like beckham	SUMMARY	"Bend" It Like Beckham
215182	acid stain concrete	SUMMARY	Acid Stain Concrete
215182	acid stain	EXPLANATION	Do a test in an inconspicuous spot. Because acid stains react differently to each type of surface to which they are applied it is imperative that a sample is done on the actual concrete or surface that is going to receive the treatment.
215182	acid stain	EXPLANATION	Be creative. Applying acid stain is a functional as well as artistic exercise. When applying the stain it is necessary to understand the technique as well as how much to apply. Every now and then potentially great jobs turn into a disaster because of improper application methods.
215182	acid stain	EXPLANATION	Clean up. Remove the acid residue and neutralize the surface. This is of key importance to the success of and acid stained concrete finish. Residue from the concrete acid etching must be removed and the surface neutralized to ensure proper adhesion of the sealant or coating system.
5571339	acne scar treatment	SUMMARY	Acne Scar Treatment
564383	add binary numbers	SUMMARY	Add Binary Numbers
340745	add music to powerpoint	SUMMARY	Add Music to PowerPoint
579371	add pictures to myspace	SUMMARY	Add Pictures to MySpace
4499816	add screen name to aol	SUMMARY	Add Screen Name to AOL
4499816	my screen name aol	EXPLANATION	Go to the screen names page: https://my.screenname.aol.com.
1351981	adopt a dog	SUMMARY	Adopt a Dog
1351981	adopt a dog	EXPLANATION	Ever wonder how to adopt a dog? Bringing a dog into your life through adoption can be a life-saving proposition for a dog that has been abandoned or abused, and it can be a life-enhancing experience for you. Dogs of all breeds and ages can be found for canine adoption and can be adopted from a variety of places including breed rescue centers, no-kill animal shelters, or foster programs. Follow the steps below to learn how to adopt a dog.
1351981	dog breeds	EXPLANATION	Contact your local animal shelter to adopt a dog. Dog breeds of all ages and training levels may be found at a shelter. Some dogs may be lost and not claimed, some may be abandoned, others may be taken into protective custody for re-homing, while others may be given up for personal reasons.
1351981	dog breeds	EXPLANATION	Consider your activity level. Some dog breeds are more energetic than others. If you are a sedentary person who enjoys quiet activities, it would be ill-advised to adopt breed of dog known for its high energy.
1351981	adopt a puppy	EXPLANATION	Determine your time constraints. If you adopt a puppy, you may have to do all the training. Older dogs may already be housebroken and have some training. Some shelters provide training lessons.
1532733	adopt a highway	SUMMARY	Adopt a Highway
1532733	adopt a highway	EXPLANATION	Adopting a highway to help control the litter on public roads has been around since 1984. The highway litter control effort originated in Texas when a Texas Department of Transportation engineer named James Evans and public information officer named Billy Black became enraged by the amount of litter collecting on the Texas highways. Black made the process of adopting a highway easy with volunteer training, reflective vests, and organized clean-up days. The first volunteers for highway clean up was the Tyler Civitan Club with a section of Highway 69 in Texas. Today the idea of corporations, clubs, and individuals making an effort to clean up their local highways has spread to 49 states, Canada, Puerto Rico, Australia, New Zealand, and Japan. More than 90,000 groups know how to adopt a highway and participate. Not only do the groups receive the goodwill advertising on a sign on their section of adopted highway, but they can also realize the personal satisfaction of doing something for the environment.
1439951	adopt a pet from a shelter	SUMMARY	Adopt a Pet from a Shelter
1439951	adopt a dog	EXPLANATION	Decide if you want to adopt a dog, a cat or both.
1439951	Pet Adoption	EXPLANATION	Visit the shelter and meet different pets. Pet adoption may take time, but you want to be sure to select the right animal.
1439951	adopt a pet	EXPLANATION	Prepare your home for a pet. When you adopt a pet, you are making a commitment to take care of them for the rest of their lives.
1439951	Pet Adoption	EXPLANATION	Pet adoption is a big responsibility that should not be taken lightly. Commit yourself to providing a good home for the animal.
1439951	adopt a pet	EXPLANATION	Give yourself plenty of time to choose the right animal when you adopt a pet.
1439951	Pet Adoption	EXPLANATION	Pets need food, water, toys and bedding. Pet adoption requires that you take proper care of your animal.
1439951	adopt a pet	EXPLANATION	Have a check, credit card or cash ready to adopt a pet.
1439951	Pet Adoption	EXPLANATION	Sometimes a free vet visit, including vaccinations, is included with the pet adoption.
1439951	adopt a pet	EXPLANATION	Animal shelters are working to solve the pet overpopulation problem. If the animal is not neutered, you may have to sign an agreement stating that you will have the pet altered when you adopt a pet. Make an appointment to get your animal fixed.
58932	adopt a puppy	SUMMARY	Adopt a Puppy
151666	airbrush nails	SUMMARY	Airbrush Nails
15013	air soft	SUMMARY	Airsoft
15013	air soft	EXPLANATION	Airsoft is a fun and active military simulation sport in which many participate. It is much like paintball, except small plastic pellets are used as projectiles, and the guns are meant to simulate actual firearms.
15013	airsoft guns	EXPLANATION	Get a gun. There are three types of Airsoft guns.
15013	Airsoft Guns	EXPLANATION	Get a gun. There are three types of Airsoft guns.
15013	air soft guns	EXPLANATION	Get a gun. There are three types of Airsoft guns.
15013	airsoft guns	EXPLANATION	Electric and blow back guns do not require cocking. If you have a gas non-blow back or a spring gun, they need to be cocked before firing (but there are some gas non-blowback pistols that can fire semi-auto). Spring guns are very reliable, but have a slow rate of fire (ROF), Automatic Electric Guns (AEGs), have a high ROF, but are trickier to maintain. GBBs have a high FPS (usually depending), can be automatic, but they are usually semi, but you need gas and you need to keep buying gas.  However the gas powered (not C02) airsoft guns become exponentially less reliable in cold weather, and the plastic parts found in many cheaper airsoft guns are prone to breaking. investing in a gun with metal internals will greatly increase the reliability and performance of your gun.
15013	Airsoft Guns	EXPLANATION	Electric and blow back guns do not require cocking. If you have a gas non-blow back or a spring gun, they need to be cocked before firing (but there are some gas non-blowback pistols that can fire semi-auto). Spring guns are very reliable, but have a slow rate of fire (ROF), Automatic Electric Guns (AEGs), have a high ROF, but are trickier to maintain. GBBs have a high FPS (usually depending), can be automatic, but they are usually semi, but you need gas and you need to keep buying gas.  However the gas powered (not C02) airsoft guns become exponentially less reliable in cold weather, and the plastic parts found in many cheaper airsoft guns are prone to breaking. investing in a gun with metal internals will greatly increase the reliability and performance of your gun.
15013	air soft guns	EXPLANATION	Electric and blow back guns do not require cocking. If you have a gas non-blow back or a spring gun, they need to be cocked before firing (but there are some gas non-blowback pistols that can fire semi-auto). Spring guns are very reliable, but have a slow rate of fire (ROF), Automatic Electric Guns (AEGs), have a high ROF, but are trickier to maintain. GBBs have a high FPS (usually depending), can be automatic, but they are usually semi, but you need gas and you need to keep buying gas.  However the gas powered (not C02) airsoft guns become exponentially less reliable in cold weather, and the plastic parts found in many cheaper airsoft guns are prone to breaking. investing in a gun with metal internals will greatly increase the reliability and performance of your gun.
1318600	amortize a loan	SUMMARY	Amortize a Loan
1318600	amortize a loan	EXPLANATION	If you plan to purchase a home or car soon, you will most likely need to take out a loan. If this is the first time you have taken out a loan, you may wonder how to amortize a loan. Amortization is paying off a debt by making scheduled payments of a specific amount. You must consider 3 items-the loan amount, the length of the loan, and the interest rate-to be able to figure the amortization schedule.
1373086	antique mirrors	SUMMARY	Antique Mirrors
1373086	antique mirrors	EXPLANATION	Decorating a house is a very personal endeavor. There are those that enjoy an ultra-modern look, and there are an equal number of people that think antiqued or weathered items add the most charm and character. If you are part of the latter group, read the following article. It will detail exactly how to antique mirrors, which can then be placed in any bedroom or communal living space for a bit of old-fashioned charm.
1342420	apply gold leaf	SUMMARY	Apply Gold Leaf
42376	lip stain	EXPLANATION	You can also apply your lip stain first if you so choose. Stretch your lips and draw the stain in a line in the center of each lip, upper and lower. Rub your lips together and blot.
42376	lip stain	EXPLANATION	Lip stains are like a pen. They can sometimes have a strong colour, but they help change the color of your lips without looking like you are wearing lip color.
1480031	apply for child support	SUMMARY	Apply for Child Support
1480031	apply for child support	EXPLANATION	Child support refers to the financial aspect of taking care of a child's needs and is the legal responsibility of both parents, regardless of the couple's relationship status. If a child's parents are married to each other when that child is born and both parents' names go on the birth certificate, then it is already established that both parents assume fiscal responsibility for the child and, in cases of divorce, designations for financial support are generally included along with the custody agreement. However, when a child's parents are not married at the time of the child's birth and/or paternity has not yet been established, it may be necessary to apply for a court ordered child support arrangement in order to mandate a parent's financial contribution to caring for that child. If that is the case, follow these guidelines for how to apply for child support.
1108896	apply for medi-cal	SUMMARY	Apply for Medi Cal
1108896	apply for medi-cal	EXPLANATION	Most states do not have their own Medicaid program but California does and has since 1966. It's called Medi-Cal. More than 8 million people, or about 21% of the entire population of the state of California, receive free or discounted insurance for themselves and their families. Even though it can seem difficult to get approved for Medi-Cal, it is relatively simple to apply for it and have an eligibility worker see if you are eligible or not. Read on for a discussion of how to apply for Medi-Cal benefits.
1108896	medi-cal application	EXPLANATION	Apply in person or online. Visit a local County Social Services office in the state of California and ask for a Medi-Cal application or apply online at C4Yourself.com or at BenefitsCalWin.org, depending on which county you live in. Check each websites to see where you should apply.
1052158	apply for medicaid	SUMMARY	Apply for Medicaid
1090547	apply for personal loans	SUMMARY	Apply for Personal Loans
1090547	apply for personal loans	EXPLANATION	A personal loan can be a great way to build credit or as a short-term solution to a specific financial need. A bank, credit union, or other lending institution will provide you the funds you need in return for the promise to pay back the money over a fixed period of time at a given interest rate. The specifics of how to apply for personal loans may vary from lender to lender, but the basics are the same.
1337742	bbq brisket	SUMMARY	BBQ Brisket
1337742	bbq brisket	EXPLANATION	When barbecuing brisket, the key to success is low heat and a slow cooking time. If you have several hours to spare, you can make a tender, juicy beef brisket on your charcoal grill. By following these steps you can learn how to BBQ brisket.
1336542	backup outlook express	SUMMARY	Back up Outlook Express
1892442	401 K Account	EXPLANATION	Determine whether or not your employer offers a 401(k) plan. Employers in the United States are not required to offer 401(k) accounts. However, most businesses find this type of retirement offering attractive, because it carries a tax deduction, can help retain quality employees, can stimulate worker investment in the company, and generally shifts the burden of retirement saving to the workers themselves. Your company's human resources manager will be able to tell you whether or not a 401(k) plan is a benefit offered.
51994	ballroom dance	SUMMARY	Ballroom Dance
51994	ballroom dance	EXPLANATION	So you want to ballroom dance?  You're about to enter a world of class, tradition, and loads of fun.  The good news is it's easier than you can imagine.  The bad news is you'll still need to work. Ballroom dance is a somewhat artificial category including many styles of traditional partner dances from several parts of the world and different eras. The thing in common is the expectation that the dance is polite and the dancer's dance-floor relationship somewhat formal (Ballroom dancing is never "Dirty Dancing"--even the more sensual styles such as the Tango are stylized. The sexuality of the dance exists in innuendo, not in hot and sweaty contact between the dancers).
1569675	battle rap	SUMMARY	Battle Rap
1569675	battle rap	EXPLANATION	You have heard of rap of course and battle rap as well, perhaps. Well, here are some steps on how to battle rap with friends, family or anyone.
510113	be real	SUMMARY	Be Real
297106	be a better dancer	SUMMARY	Be a Better Dancer
202543	Drama	EXPLANATION	Drama queens love attention. Let your love for attention guide you in your actions. Do things like talking out loud in the hallways, or start a scene in front of the whole school, yelling and screaming at someone who wronged you.
202543	Drama	EXPLANATION	Don't be shy. Shyness and embarrassment are two words real drama queens don't know exist. You have to act extremely confident. You have to know that you are in control and whatever you say is important. Everyone must know that you are the center of attention.
700235	be a hair model	SUMMARY	Be a Hair Model
700235	be a hair model	EXPLANATION	Have you ever wanted to be a hair model. It's fun and you can even get a free hair style. It takes a lot of confidence because sometimes you may have to model in front of total strangers for a hair show or even a photographer.
575685	be a movie star	SUMMARY	Be a Movie Star
1404021	be an inventor	SUMMARY	Be an Inventor
1404021	Invention	EXPLANATION	Now go back to your notebook, and get that brain working!  If you're seriously thinking about an invention, ask yourself a few questions.  1.  How will this benefit me or the people around me?  What will it do to improve the world or society?  2.  Is this an invention that a lot of people will either need or want?  If so, why?  3.  Is this possible?
1404021	Invention	EXPLANATION	Get the tools you need for your invention. You might want to build an inventor's lab if you're very dedicated to inventing, but that is not always the case.  An inventor's lab can be set up in your garage or even your shed, as long as family members don't mind.  A/N:  My inventor's lab is my bedroom.
1404021	Invention	EXPLANATION	When you're done you can show your invention to your friends and family, or follow your plan to get it in stores.
1333480	icarly episodes	EXPLANATION	First, watch all the episodes. There is a good episode list on Wikipedia. The link is http://en.wikipedia.org/wiki/List_of_iCarly_episodes. You can search the episode name on YouTube and watch them there.
1567764	beat egg whites	SUMMARY	Beat Egg Whites
1567764	Egg Whites	EXPLANATION	Separate the egg whites. There are several ways to do this, but the easiest is to very carefully pass the bright yellow yolk of the egg from one half of the shell to the other over a bowl, allowing the clearer white of the egg to dribble out. Do this several times until most of the egg white has dripped into the bowl. Place the yolk in your second bowl. Be careful not to allow any pieces of eggshell into either bowl. Carefully pick them out if necessary.
1567764	Egg Whites	EXPLANATION	Whisk the eggs. Lower your whisk into the egg whites and begin to move it in tight circles by moving your wrist sharply up and down in a circular motion. Start slowly and then speed up. You don't want to go too fast, and consistency is key.
1567764	Egg Whites	EXPLANATION	Keep beating. The recipe you are working from will probably describe to you the ideal consistency of the egg whites. Take your whisk out of the bowl and point the whisking end up to form peaks, allowing you to judge the stiffness. Whisking can be tiring, and you may be tempted to switch hands. This is fine as long as both hands can keep up a consistently quick rhythm.
1567764	Egg Whites	EXPLANATION	If it asks for stiff peaks, stop when the egg whites firm up and begin to form peaks that stand up sharply on their own.
147294	Garrador	EXPLANATION	Fire the rocket launcher (if you have it) at the door at the other end.  It kills everyone in the room, and it saves you a whole bunch of health and ammo. If you are skeptical about wasting money on a rocket launcher, it costs 30,000 pesetas.  Each of the Garradors drop 15,000 pesetas, so you can easily buy another one.
